symbol,expiration_date,strike,option_type,option_symbol,timestamp,bid,ask,last,volume,open_interest,implied_volatility,delta,gamma,theta,vega,underlying_price,expiration_date_dt,mid,days_to_expiry,moneyness,relative_strike,bid_ask_spread,bid_ask_spread_percent,volume_oi_ratio,intrinsic_value,time_value
SPY,2025-07-18,575.0,C,SPY250718C00575000,2025-05-13 10:50:13,22.91,22.98,22.82,1577,12527,0.162,0.636,0.009,-0.154,93.819,582.99,2025-07-18,22.945,65,0.9862947906482101,-0.013705209351789926,0.07000000000000028,0.003046127067014808,0.1258880817434342,7.990000000000009,14.954999999999991
SPY,2025-07-18,575.0,P,SPY250718P00575000,2025-05-13 10:50:14,11.84,11.89,11.86,14395,6793,0.176,-0.373,0.008,-0.097,94.526,582.99,2025-07-18,11.865,65,0.9862947906482101,-0.013705209351789926,0.05000000000000071,0.004205214465937823,2.119093184160165,0.0,11.865
SPY,2025-07-18,580.0,C,SPY250718C00580000,2025-05-13 10:50:14,19.48,19.54,19.6,1800,11298,0.157,0.59,0.01,-0.152,97.094,582.99,2025-07-18,19.509999999999998,65,0.9948712670886293,-0.005128732911370708,0.05999999999999872,0.0030706243602865264,0.15932023366967604,2.990000000000009,16.51999999999999
SPY,2025-07-18,580.0,P,SPY250718P00580000,2025-05-13 10:50:15,13.43,13.48,13.45,4271,4809,0.171,-0.415,0.009,-0.094,97.38,582.99,2025-07-18,13.455,65,0.9948712670886293,-0.005128732911370708,0.05000000000000071,0.0037091988130564324,0.8881264296111457,0.0,13.455
SPY,2025-07-18,585.0,C,SPY250718C00585000,2025-05-13 10:50:15,16.28,16.34,16.39,1612,4357,0.151,0.54,0.01,-0.147,99.138,582.99,2025-07-18,16.310000000000002,65,1.0034477435290485,0.00344774352904851,0.05999999999999872,0.0036719706242349277,0.3699793435850356,0.0,16.310000000000002
SPY,2025-07-18,585.0,P,SPY250718P00585000,2025-05-13 10:50:16,15.25,15.32,14.99,710,3779,0.166,-0.461,0.01,-0.089,99.168,582.99,2025-07-18,15.285,65,1.0034477435290485,0.00344774352904851,0.07000000000000028,0.004569190600522212,0.18788039163799947,2.009999999999991,13.27500000000001
SPY,2025-07-18,590.0,C,SPY250718C00590000,2025-05-13 10:50:16,13.36,13.4,13.37,10054,11101,0.146,0.486,0.011,-0.14,99.59,582.99,2025-07-18,13.379999999999999,65,1.0120242199694678,0.012024219969467728,0.040000000000000924,0.0029850746268657406,0.9056841725970634,0.0,13.379999999999999
SPY,2025-07-18,590.0,P,SPY250718P00590000,2025-05-13 10:50:17,17.37,17.44,17.38,442,3335,0.162,-0.51,0.01,-0.083,99.618,582.99,2025-07-18,17.405,65,1.0120242199694678,0.012024219969467728,0.07000000000000028,0.004013761467889924,0.13253373313343328,7.009999999999991,10.39500000000001
SPY,2025-07-18,595.0,C,SPY250718C00595000,2025-05-13 10:50:17,10.73,10.77,10.79,2086,10609,0.141,0.43,0.011,-0.131,98.103,582.99,2025-07-18,10.75,65,1.020600696409887,0.020600696409886946,0.03999999999999915,0.00371402042711227,0.19662550664530115,0.0,10.75
SPY,2025-07-18,595.0,P,SPY250718P00595000,2025-05-13 10:50:17,19.77,20.01,20.05,55,1922,0.158,-0.56,0.01,-0.076,98.529,582.99,2025-07-18,19.89,65,1.020600696409887,0.020600696409886946,0.240000000000002,0.011994002998500848,0.02861602497398543,12.009999999999991,7.88000000000001
SPY,2025-07-18,600.0,C,SPY250718C00600000,2025-05-13 10:50:18,8.43,8.46,8.47,7274,17883,0.136,0.372,0.011,-0.121,94.449,582.99,2025-07-18,8.445,65,1.029177172850306,0.029177172850306164,0.030000000000001137,0.0035460992907802758,0.4067550187328748,0.0,8.445
SPY,2025-07-18,600.0,P,SPY250718P00600000,2025-05-13 10:50:18,22.56,22.81,22.43,121,654,0.156,-0.61,0.01,-0.067,95.854,582.99,2025-07-18,22.685,65,1.029177172850306,0.029177172850306164,0.25,0.010960105217010085,0.18501529051987767,17.00999999999999,5.675000000000008
SPY,2025-07-18,605.0,C,SPY250718C00605000,2025-05-13 10:50:20,6.49,6.51,6.54,3220,6855,0.133,0.314,0.011,-0.108,88.612,582.99,2025-07-18,6.5,65,1.0377536492907253,0.03775364929072538,0.019999999999999574,0.003072196620583652,0.4697301239970824,0.0,6.5
SPY,2025-07-18,605.0,P,SPY250718P00605000,2025-05-13 10:50:21,25.67,25.99,26.38,759,170,0.155,-0.658,0.009,-0.058,91.771,582.99,2025-07-18,25.83,65,1.0377536492907253,0.03775364929072538,0.31999999999999673,0.0123124278568679,4.464705882352941,22.00999999999999,3.8200000000000074
SPY,2025-07-18,610.0,C,SPY250718C00610000,2025-05-13 10:50:21,4.9,4.92,5.05,2212,17203,0.13,0.259,0.01,-0.095,80.871,582.99,2025-07-18,4.91,65,1.0463301257311446,0.0463301257311446,0.019999999999999574,0.004065040650406418,0.12858222403069233,0.0,4.91
